Job Title,Company,Location,Experience,Min Experience,Max Experience,Salary Label,Min Salary (INR),Max Salary (INR),Job Role,Skills
Data analyst,Inginit,Mumbai,0-3 Yrs,0,3,Not Disclosed,0.0,0.0,Data Analyst,"master data, metadata, python, data analysis, data management, data analytics, data validation, configuration, data mining, data integrity"
Data Analyst,CGI,Hyderabad,4-8 Yrs,4,8,8-16 Lacs,800000.0,1600000.0,Data Science & Analytics - Other,Data Analysis
Data Analyst,Clustor Computing,Nagpur,0-2 Yrs,0,2,Not Disclosed,0.0,0.0,Data Analyst,"Analytical skills, Data analysis, Manager Quality Assurance, data science, power bi, Data analytics, data visualization, digital transformation, SQL, Python"
Data Analyst,E4 Softwares,Mumbai,0-3 Yrs,0,3,Not Disclosed,0.0,0.0,Data Analyst,"python, data analysis, data analytics, sas, natural language processing, data mining, predictive analytics, process improvement, machine learning, sql"
Data Analyst,Ebizneeds (India) Internet Solutions Pvt. Ltd,Jaipur,0-3 Yrs,0,3,Not Disclosed,0.0,0.0,Data Analyst,"master data, metadata, python, data analysis, data management, data analytics, data validation, configuration, data mining, data integrity"
Data Analyst,Maven Marketing,Chennai,0-7 Yrs,0,7,Not Disclosed,0.0,0.0,Data Analyst,"database maintenance, python, data analysis, data management, data analytics, problem solving, dashboards, sql, excel, data quality"
Data Analyst,Vipsa Talent Solutions,Bengaluru,4-6 Yrs,4,6,Not Disclosed,0.0,0.0,IT & Information Security - Other,"Life Sciences, Pharmaceutical, Market Mix Modelling"
Data Engineer / Analyst,We Shine Academy,Chennai,0-3 Yrs,0,3,Not Disclosed,0.0,0.0,Data Engineer,"hive, python, data analysis, data analytics, oracle, scala, data mining, data warehousing, power bi, microsoft azure"
Data Analyst,Legistify,Gurugram,0-1 Yrs,0,1,Not Disclosed,0.0,0.0,Data Analyst,"metadata, python, data analysis, data management, data analytics, data validation, configuration, data mining, data integrity, dashboards"
Data Analyst (Deployment),Legistify,Gurugram,0-2 Yrs,0,2,Not Disclosed,0.0,0.0,Data Analyst,"metadata, python, data analysis, data management, data analytics, data validation, configuration, data mining, data integrity, dashboards"
GPS Tracking & Fleet Data Analyst (Remote),Gvmc Global,India,2-5 Yrs,2,5,3-4.25 Lacs,300000.0,425000.0,Data Science & Analytics - Other,"Google Sheets, Power Bi, AI Tools & Automation, Fleet Management, Operational Analytics, Advanced Excel, Tableau, GPS Tracking & Monitoring"
Data Analyst,VVF,Mumbai (All Areas),4-8 Yrs,4,8,Not Disclosed,0.0,0.0,Other,Tracking
Turbine Data Analyst,Vestas,Chennai,3-8 Yrs,3,8,Not Disclosed,0.0,0.0,Data Analyst,"business intelligence reporting, SAP, Social media, Turbine, MS Office tools, Database, power bi, wind energy, data visualization, Recruitment"
Data Analyst,Sopra Steria,Noida,3-5 Yrs,3,5,Not Disclosed,0.0,0.0,Database Analyst,"development, design documents, oracle, data analysis, data warehousing, oracle fusion, plsql, sql, functional consultancy, oracle data integrator"
Data Analyst,Concept Kart,New Delhi,0-4 Yrs,0,4,3-4 Lacs,300000.0,400000.0,Technology / IT - Other,"Power Bi, Data Analytics, SQL, Data Analysis"
Fresher - Data Analyst,Zyphra Tech Solutions Inc,Hyderabad,1-6 Yrs,1,6,Unpaid,,,Data Analyst,"Computer science, Data analysis, Data validation, Data modeling, Staffing, Business intelligence, Internship, SQL, Python, Recruitment"
Data Analyst,Wissen Technology,Bengaluru,2-6 Yrs,2,6,Not Disclosed,0.0,0.0,Data Analyst,"VBA, Macros, Excel"
Data Analyst,Wissen Technology,Bengaluru,4-7 Yrs,4,7,Not Disclosed,0.0,0.0,"BFSI, Investments & Trading - Other","Excel, Seismic, UAT, MIS Reporting, Data Validation"
Data Analyst,Indium Corporation,Bengaluru,2-5 Yrs,2,5,Not Disclosed,0.0,0.0,Data Analyst,"IT services, Data analysis, tableau, power bi, Data Analyst, data visualization, Stakeholder management, SQL, Python, performance measurement"
Data Analyst,Indium Corporation,Bengaluru,2-5 Yrs,2,5,Not Disclosed,0.0,0.0,Data Analyst,"IT services, SQL queries, Automation, Data analysis, Usage, Analytical, Data Analyst, Management, Python, Data extraction"
Data Analyst,Tata Consultancy Services,Pune,4-8 Yrs,4,8,25-40 Lacs,2500000.0,4000000.0,IT & Information Security - Other,"Hadoop, GCP, Data Analysis, Spark, ETL, Azzure, AWS, Python, Power Bi"
Data Analyst,Nestle,Gurugram,1-3 Yrs,1,3,Not Disclosed,0.0,0.0,Data Science & Analytics - Other,Mis Analysis
Data Analyst,Wissen Technology,Bengaluru,2-6 Yrs,2,6,Not Disclosed,0.0,0.0,Data Analyst,"python, data analysis, analytical, data validation, workflow, data mining, verbal communication, uat, data mapping, financial services"
Data Analyst - 5th Mar (Thursday)- Virtual Interview- Pan India,Tata Consultancy Services,Kolkata,8-13 Yrs,8,13,Not Disclosed,0.0,0.0,Data Analyst,"Power Bi, Data Modeling, Azure Synapse"
Data Analyst,Rentomojo,Bengaluru,2-5 Yrs,2,5,Not Disclosed,0.0,0.0,Data Analyst,"Automation, Data modeling, Analytical, Postgresql, MySQL, Schema, Data processing, Operations, Analytics, SQL"
Data Analyst - Noida,Optum,Noida,4-8 Yrs,4,8,16-25 Lacs,1600000.0,2500000.0,Data Analyst,"kubernetes, ADF, Terraform, databrick, Blob Storage, HDInsight or HD insight, Microservices, hive"
Data Analyst,Statusneo Technology Consulting,Gurugram,3-8 Yrs,3,8,6-13 Lacs,600000.0,1300000.0,Data Analyst,Snowflake
